Site ID,Site name,Sample date/time,E. coli value (orgs/100 mL),E. coli qualifier
291600,Launching Place,4/12/2013 8:25,600,=
290400,Healesville,4/12/2013 9:15,410,=
4991,Warrandyte,4/12/2013 9:55,52,=
4940,Kew,4/12/2013 10:40,1600,=
291600,Launching Place,11/12/2013 7:30,660,=
290400,Healesville,11/12/2013 7:55,2500,=
4991,Warrandyte,11/12/2013 8:40,200,=
4940,Kew,11/12/2013 9:50,200,=
291600,Launching Place,18/12/2013 07:30,160,=
290400,Healesville,18/12/2013 08:00,260,=
4991,Warrandyte,18/12/2013 08:40,52,=
4940,Kew,18/12/2013 10:00,63,=
291600,Launching Place,27/12/2013 08:00,410,=
290400,Healesville,27/12/2013 08:38,220,=
4991,Warrandyte,27/12/2013 09:30,97,=
4940,Kew,27/12/2013 10:20,150,=
291600,Launching Place,15/01/2014 07:45,360,=
290400,Healesville,15/01/2014 08:10,150,=
4991,Warrandyte,15/01/2014 08:50,160,=
4940,Kew,15/01/2014 09:40,370,=
291600,Launching Place,22/01/2014 08:15,280,=
290400,Healesville,22/01/2014 08:45,230,=
4991,Warrandyte,22/01/2014 09:25,110,=
4940,Kew,22/01/2014 10:05,63,=
291600,Launching Place,29/01/2014 07:55,910,=
290400,Healesville,29/01/2014 08:35,750,=
4991,Warrandyte,29/01/2014 09:25,190,=
4940,Kew,29/01/2014 10:15,110,=
291600,Launching Place,19/02/2014 07:40,380,=
290400,Healesville,19/02/2014 08:30,110,=
4991,Warrandyte,19/02/2014 09:10,74,=
4940,Kew,19/02/2014 10:10,390,=
291600,Launching Place,26/02/2014 07:35,360,=
290400,Healesville,26/02/2014 08:10,260,=
4991,Warrandyte,26/02/2014 09:05,170,=
4940,Kew,26/02/2014 09:50,280,=
291600,Launching Place,3/1/2014 8:20,260,=
290400,Healesville,3/1/2014 8:55,960,=
4991,Warrandyte,3/1/2014 9:45,230,=
4940,Kew,3/1/2014 10:30,340,=
291600,Launching Place,3/12/2014 9:55,390,=
290400,Healesville,3/12/2014 10:25,250,=
4991,Warrandyte,3/12/2014 11:10,63,=
4940,Kew,3/12/2014 11:50,63,=
291600,Launching Place,5/2/2014 8:30,350,=
290400,Healesville,5/2/2014 9:00,240,=
4991,Warrandyte,5/2/2014 9:40,110,=
4940,Kew,5/2/2014 10:35,170,=
291600,Launching Place,5/3/2014 8:05,290,=
290400,Healesville,5/3/2014 8:35,640,=
4991,Warrandyte,5/3/2014 9:10,74,=
4940,Kew,5/3/2014 10:00,130,=
291600,Launching Place,8/1/2014 7:10,280,=
290400,Healesville,8/1/2014 7:45,280,=
4991,Warrandyte,8/1/2014 8:35,63,=
4940,Kew,8/1/2014 9:35,110,=
291600,Launching Place,10/12/2014 8:35,280,=
290400,Healesville,10/12/2014 9:05,410,=
4991,Warrandyte,10/12/2014 9:50,120,=
4940,Kew,10/12/2014 10:50,180,=
291600,Launching Place,12/2/2014 8:05,170,=
290400,Healesville,12/2/2014 8:35,160,=
4991,Warrandyte,12/2/2014 9:10,130,=
4940,Kew,12/2/2014 10:15,96,=
4940,Kew,17/12/2014 11:40,63,=
4991,Warrandyte,17/12/2014 12:20,72,=
290400,Healesville,17/12/2014 13:05,130,=
291600,Launching Place,17/12/2014 13:45,400,=
291600,Launching Place,22/12/2014 07:30,260,=
290400,Healesville,22/12/2014 08:30,260,=
4991,Warrandyte,22/12/2014 09:10,74,=
4940,Kew,22/12/2014 10:00,110,=
4940,Kew,29/12/2014 11:00,210,=
4991,Warrandyte,29/12/2014 11:45,330,=
290400,Healesville,29/12/2014 12:30,110,=
291600,Launching Place,29/12/2014 13:05,670,=
4940,Kew,14/01/2015 10:40,2100,=
4991,Warrandyte,14/01/2015 11:20,400,=
290400,Healesville,14/01/2015 12:05,120,=
4940,Kew,21/01/2015 09:50,110,=
4991,Warrandyte,21/01/2015 10:40,120,=
290400,Healesville,21/01/2015 11:35,400,=
291600,Launching Place,21/01/2015 12:05,770,=
291600,Launching Place,28/01/2015 08:10,220,=
290400,Healesville,28/01/2015 09:25,150,=
4991,Warrandyte,28/01/2015 10:20,63,=
4940,Kew,28/01/2015 11:00,52,=
291600,Launching Place,2/12/2015 8:15,370,=
290400,Healesville,2/12/2015 8:45,260,=
4991,Warrandyte,2/12/2015 9:30,63,=
4940,Kew,2/12/2015 10:20,97,=
4940,Kew,18/02/2015 10:55,360,=
4991,Warrandyte,18/02/2015 11:45,74,=
290400,Healesville,18/02/2015 12:25,290,=
291600,Launching Place,18/02/2015 12:55,110,=
291600,Launching Place,25/02/2015 08:30,130,=
290400,Healesville,25/02/2015 09:00,130,=
4991,Warrandyte,25/02/2015 09:50,52,=
4940,Kew,25/02/2015 10:40,210,=
4940,Kew,4/2/2015 11:20,41,=
4991,Warrandyte,4/2/2015 12:15,86,=
290400,Healesville,4/2/2015 13:15,240,=
291600,Launching Place,4/2/2015 13:50,310,=
291600,Launching Place,4/3/2015 8:15,610,=
290400,Healesville,4/3/2015 8:55,280,=
4991,Warrandyte,4/3/2015 9:35,98,=
4940,Kew,4/3/2015 10:25,190,=
4940,Kew,7/1/2015 10:30,52,=
4991,Warrandyte,7/1/2015 11:10,330,=
290400,Healesville,7/1/2015 12:00,200,=
4940,Kew,9/12/2015 10:15,74,=
4991,Warrandyte,9/12/2015 11:10,110,=
290400,Healesville,9/12/2015 12:05,200,=
291600,Launching Place,9/12/2015 12:45,440,=
291600,Launching Place,11/2/2015 8:25,150,=
290400,Healesville,11/2/2015 8:55,41,=
4991,Warrandyte,11/2/2015 10:00,190,=
4940,Kew,11/2/2015 10:23,290,=
291600,Launching Place,16/12/2015 08:15,960,=
290400,Healesville,16/12/2015 08:50,290,=
4991,Warrandyte,16/12/2015 09:30,120,=
4940,Kew,16/12/2015 13:20,110,=
291600,Launching Place,21/12/2015 08:15,200,=
290400,Healesville,21/12/2015 08:50,240,=
4991,Warrandyte,21/12/2015 09:35,720,=
4940,Kew,21/12/2015 13:50,1500,=
291600,Launching Place,29/12/2015 08:15,310,=
290400,Healesville,29/12/2015 08:45,280,=
4991,Warrandyte,29/12/2015 09:30,86,=
4940,Kew,29/12/2015 13:00,390,=
291600,Launching Place,20/01/2016 08:20,1100,=
290400,Healesville,20/01/2016 08:50,190,=
4991,Warrandyte,20/01/2016 09:30,30,=
4940,Kew,20/01/2016 10:10,63,=
291600,Launching Place,25/01/2016 07:55,260,=
290400,Healesville,25/01/2016 08:30,190,=
4991,Warrandyte,25/01/2016 09:20,98,=
4940,Kew,25/01/2016 10:15,260,=
291600,Launching Place,2/3/2016 8:10,160,=
290400,Healesville,2/3/2016 8:45,160,=
4991,Warrandyte,2/3/2016 9:38,96,=
4940,Kew,2/3/2016 10:40,200,=
291600,Launching Place,17/02/2016 08:05,220,=
4991,Warrandyte,17/02/2016 08:35,960,=
290400,Healesville,17/02/2016 08:40,98,=
4940,Kew,17/02/2016 10:30,560,=
291600,Launching Place,24/02/2016 08:20,500,=
290400,Healesville,24/02/2016 08:50,860,=
4991,Warrandyte,24/02/2016 09:40,160,=
4940,Kew,24/02/2016 10:30,52,=
291600,Launching Place,3/2/2016 8:30,330,=
290400,Healesville,3/2/2016 9:00,120,=
4991,Warrandyte,3/2/2016 9:45,160,=
4940,Kew,3/2/2016 10:20,860,=
291600,Launching Place,6/1/2016 8:15,200,=
290400,Healesville,6/1/2016 8:50,85,=
4991,Warrandyte,6/1/2016 9:30,63,=
4940,Kew,6/1/2016 10:30,63,=
291600,Launching Place,7/12/2016 8:10,220,=
290400,Healesville,7/12/2016 8:45,110,=
4991,Warrandyte,7/12/2016 9:40,73,=
4940,Kew,7/12/2016 10:15,97,=
291600,Launching Place,9/3/2016 8:10,510,=
290400,Healesville,9/3/2016 8:40,260,=
4991,Warrandyte,9/3/2016 9:40,52,=
4940,Kew,9/3/2016 10:25,220,=
291600,Launching Place,10/2/2016 8:20,170,=
290400,Healesville,10/2/2016 8:50,130,=
4991,Warrandyte,10/2/2016 9:40,86,=
4940,Kew,10/2/2016 10:35,240,=
291600,Launching Place,11/1/2016 7:40,410,=
290400,Healesville,11/1/2016 8:15,160,=
4991,Warrandyte,11/1/2016 8:55,52,=
4940,Kew,11/1/2016 9:20,52,=
291600,Launching Place,14/12/2016 08:10,180,=
290400,Healesville,14/12/2016 08:50,190,=
4991,Warrandyte,14/12/2016 09:50,30,=
4940,Kew,14/12/2016 10:45,98,=
291600,Launching Place,21/12/2016 08:13,160,=
290400,Healesville,21/12/2016 08:50,98,=
4991,Warrandyte,21/12/2016 09:55,41,=
4940,Kew,21/12/2016 11:05,690,=
291600,Launching Place,29/12/2016 07:45,320,=
290400,Healesville,29/12/2016 08:25,180,=
4991,Warrandyte,29/12/2016 09:10,210,=
4940,Kew,29/12/2016 10:30,62,=
291600,Launching Place,1/2/2017 8:01,280,=
290400,Healesville,1/2/2017 8:25,250,=
4991,Warrandyte,1/2/2017 9:12,86,=
4940,Kew,1/2/2017 10:10,320,=
291600,Launching Place,1/3/2017 8:10,97,=
290400,Healesville,1/3/2017 8:40,110,=
4991,Warrandyte,1/3/2017 9:25,30,=
4940,Kew,1/3/2017 10:10,63,=
